T0 (C),T0 (K),T0_unc (K),Potential (V),Current (A),Area (Degrees * V),T (K) 
26.3,299.45,0.1,10,0.606,7.0882,3410.894478
26.4,299.55,0.1,10,0.604,8.2141,3422.033109
26.4,299.55,0.1,10,0.605,8.4341,3416.504671
26.5,299.65,0.1,9,0.569,6.4113,3272.826404
26.6,299.75,0.1,9,0.569,6.2862,3272.926404
26.6,299.75,0.1,9,0.569,7.0213,3272.926404
26.3,299.45,0.1,8,0.533,5.8502,3109.425932
26.4,299.55,0.1,8,0.533,6.0614,3109.525932
26.1,299.25,0.1,8,0.532,4.662,3114.925553
26.1,299.25,0.1,8,0.534,4.9571,3103.547658
26,299.15,0.2,7,0.491,4.5732,2957.052857
25.9,299.05,0.1,7,0.488,5.0738,2974.658544
26,299.15,0.1,7,0.493,4.8629,2945.36878
26,299.15,0.1,6,0.446,3.3705,2794.688343
25.6,298.75,0.1,6,0.449,2.9267,2776.129587
25.7,298.85,0.1,6,0.453,3.7955,2752.392043
25.8,298.95,0.1,5,0.398,3.0881,2614.670014
26,299.15,0.1,5,0.394,2.9252,2640.635925
25.3,298.45,0.1,5,0.398,2.7819,2614.170014
25.2,298.35,0.1,4,0.34,1.3413,2452.836037
25.3,298.45,0.1,4,0.339,1.3905,2459.946976
25.1,298.25,0.1,4,0.34,1.8016,2452.736037
25.1,298.25,0.1,4,0.338,1.9747,2466.799399
